layer,forecast_date,breach_probability,slo_threshold
Market Data Feed,2024-12-02,63.71,99.5
Market Data Feed,2024-12-03,46.63,99.5
Market Data Feed,2024-12-04,46.22,99.5
Market Data Feed,2024-12-05,50.19,99.5
Market Data Feed,2024-12-06,46.82,99.5
Market Data Feed,2024-12-07,46.42,99.5
Market Data Feed,2024-12-08,46.48,99.5
Market Data Feed,2024-12-09,63.68,99.5
Market Data Feed,2024-12-10,46.62,99.5
Market Data Feed,2024-12-11,46.21,99.5
Market Data Feed,2024-12-12,50.19,99.5
Market Data Feed,2024-12-13,46.82,99.5
Market Data Feed,2024-12-14,46.42,99.5
Market Data Feed,2024-12-15,46.48,99.5
Market Data Feed,2024-12-16,63.67,99.5
Market Data Feed,2024-12-17,46.62,99.5
Market Data Feed,2024-12-18,46.21,99.5
Market Data Feed,2024-12-19,50.18,99.5
Market Data Feed,2024-12-20,46.81,99.5
Market Data Feed,2024-12-21,46.41,99.5
Market Data Feed,2024-12-22,46.48,99.5
Market Data Feed,2024-12-23,63.66,99.5
Market Data Feed,2024-12-24,46.62,99.5
Market Data Feed,2024-12-25,46.21,99.5
Market Data Feed,2024-12-26,50.18,99.5
Market Data Feed,2024-12-27,46.81,99.5
Market Data Feed,2024-12-28,46.41,99.5
Market Data Feed,2024-12-29,46.47,99.5
Market Data Feed,2024-12-30,63.65,99.5
Market Data Feed,2024-12-31,46.61,99.5
Portfolio Valuation,2024-12-02,52.12,99.0
Portfolio Valuation,2024-12-03,37.93,99.0
Portfolio Valuation,2024-12-04,38.15,99.0
Portfolio Valuation,2024-12-05,41.91,99.0
Portfolio Valuation,2024-12-06,38.18,99.0
Portfolio Valuation,2024-12-07,37.98,99.0
Portfolio Valuation,2024-12-08,38.04,99.0
Portfolio Valuation,2024-12-09,52.16,99.0
Portfolio Valuation,2024-12-10,37.97,99.0
Portfolio Valuation,2024-12-11,38.19,99.0
Portfolio Valuation,2024-12-12,41.95,99.0
Portfolio Valuation,2024-12-13,38.22,99.0
Portfolio Valuation,2024-12-14,38.02,99.0
Portfolio Valuation,2024-12-15,38.09,99.0
Portfolio Valuation,2024-12-16,52.2,99.0
Portfolio Valuation,2024-12-17,38.01,99.0
Portfolio Valuation,2024-12-18,38.24,99.0
